,symbol
0,AEFES.IS
1,AGHOL.IS
2,AKBNK.IS
3,AKSEN.IS
4,ALGYO.IS
5,ALARK.IS
6,ARCLK.IS
7,ASELS.IS
8,ASTOR.IS
9,BIMAS.IS
10,BIOEN.IS
11,CANTE.IS
12,CCOLA.IS
13,DOAS.IS
14,EKGYO.IS
15,ENJSA.IS
16,EUPWR.IS
17,EREGL.IS
18,FROTO.IS
19,GARAN.IS
20,GESAN.IS
21,GUBRF.IS
22,GWIND.IS
23,HEKTS.IS
24,ISCTR.IS
25,ISDMR.IS
26,KARSN.IS
27,KCHOL.IS
28,KMPUR.IS
29,KONTR.IS
30,KRDMD.IS
31,MGROS.IS
32,ODAS.IS
33,OTKAR.IS
34,OYAKC.IS
35,PENTA.IS
36,PETKM.IS
37,PGSUS.IS
38,QUAGR.IS
39,SAHOL.IS
40,SASA.IS
41,SELEC.IS
42,SISE.IS
43,SKBNK.IS
44,SMRTG.IS
45,SOKM.IS
46,TAVHL.IS
47,TCELL.IS
48,THYAO.IS
49,TKFEN.IS
50,TOASO.IS
51,TSKB.IS
52,TTKOM.IS
53,TTRAK.IS
54,TUPRS.IS
55,TURSG.IS
56,ULKER.IS
57,VAKBN.IS
58,VESBE.IS
59,VESTL.IS
60,YATAS.IS
61,YKBNK.IS
62,ZOREN.IS
63,FAKE63
64,FAKE64
65,FAKE65
66,FAKE66
67,FAKE67
68,FAKE68
69,FAKE69
70,FAKE70
71,FAKE71
72,FAKE72
73,FAKE73
74,FAKE74
75,FAKE75
76,FAKE76
77,FAKE77
78,FAKE78
79,FAKE79
80,FAKE80
81,FAKE81
82,FAKE82
83,FAKE83
84,FAKE84
85,FAKE85
86,FAKE86
87,FAKE87
88,FAKE88
89,FAKE89
90,FAKE90
91,FAKE91
92,FAKE92
93,FAKE93
94,FAKE94
95,FAKE95
96,FAKE96
97,FAKE97
98,FAKE98
99,FAKE99
